avgWs,stnId,sumRn,sumRnDur,maxWs,minTa,ddMefs,avgTa,avgRhm,ddMes,tm,maxTa,maxInsWs
1.7,90,,,5.9,-5.8,,-1.5,23.6,,1/1/2019,2.4,10.9
1.3,93,,,5.4,-14.2,,-7.5,57.8,,1/1/2019,0.8,7
1,95,,,3.6,-16.5,,-9.2,61.8,,1/1/2019,-1.9,6.5
1.7,98,,,5.2,-13,,-7,48.1,,1/1/2019,0.2,7.4
1,99,,,4.2,-15.5,,-8.1,65.3,,1/1/2019,-0.2,7.2
4.8,100,,,9,-13.5,,-9,53.5,,1/1/2019,-4.3,11.6
1.4,101,,,4.8,-13.7,,-7,62.6,,1/1/2019,0,8
7.2,102,,,9.6,-3,,-1.9,60.3,,1/1/2019,-0.8,15.3
2.1,104,,,4.5,-4.4,,-1.1,26.4,,1/1/2019,3.1,8.3
4.1,105,,,6.2,-2.7,,-0.7,26.3,,1/1/2019,2.9,11.5
2,106,,,4.9,-3.2,,0,25.1,,1/1/2019,3.5,8.8
2.1,108,,,4.3,-8.2,,-5,49.5,,1/1/2019,-0.6,8.6
3.3,112,,,7.3,-7.2,,-4.4,57.6,,1/1/2019,-0.9,10.6
0.9,114,,,3.3,-10.7,,-5.3,55.8,,1/1/2019,0.1,7.2
2,115,0,0.92,4.3,0.9,0,2.3,46.8,13,1/1/2019,4.3,9.9
1.8,119,,,4.6,-9,,-4.4,64.8,,1/1/2019,0.2,7.5
1.2,121,,,4.4,-12.3,,-5.8,63.3,,1/1/2019,0.7,8.5
1.7,127,,,5.5,-7.6,,-4.2,60.3,,1/1/2019,-0.3,8.7
2.1,129,0.5,,6.4,-5,,-1.8,65.5,,1/1/2019,1.1,8.9
3.2,130,,,4.6,-3.2,,-0.4,32.8,,1/1/2019,5.5,8.5
1.4,131,0,0.77,3.4,-5.5,,-2.7,61.5,,1/1/2019,0.3,6.8
1.3,133,0.1,3.5,3.4,-6.1,0,-2.7,69.8,0,1/1/2019,0.7,7.2
