avgWs,stnId,sumRn,sumRnDur,maxWs,minTa,ddMefs,avgTa,avgRhm,ddMes,tm,maxTa,maxInsWs
1.7,90,,,5.8,1.5,,6,50,,1/1/2017,9.8,10.2
0.4,93,,,1.5,-5.5,,-0.4,87.1,,1/1/2017,5.8,2.2
0.6,95,,,3.3,-6.2,,-0.2,83.8,,1/1/2017,6.1,5.5
0.6,98,,,1.6,-4.3,,1.8,76.3,,1/1/2017,7.7,2.9
0.3,99,,,2.1,-6.9,,0,83.1,,1/1/2017,6.6,3.3
5.1,100,,,9.5,-4.6,,-1.3,74.3,,1/1/2017,1.8,13.1
0.5,101,,,1.3,-4.6,,-0.4,93.3,,1/1/2017,3.2,2.1
2.7,102,,,5.4,3.4,,5.6,80.8,,1/1/2017,7.7,7.7
2,104,,,3.6,0.8,,5.8,50.3,4.8,1/1/2017,9.5,6.7
4.4,105,,,6.4,4,,6.6,39.4,,1/1/2017,9.2,11.9
1.6,106,,,4.5,1.4,,7.1,48.5,,1/1/2017,12.1,7.3
1.5,108,,,2.8,-1.6,,2.7,75.9,,1/1/2017,6.9,4.5
2.2,112,,,3.7,1.3,,5.1,78.6,,1/1/2017,8.5,5.7
0.2,114,,,1.9,-1.6,,1.6,77.9,,1/1/2017,5.7,2.7
3.5,115,,,7.3,4.2,,7,49.5,,1/1/2017,11,10.6
0.7,119,,,2.4,-2.8,,2.9,85.8,,1/1/2017,8.2,3.6
0.4,121,,,1.5,-2.8,,1.2,84.4,,1/1/2017,7.2,2.8
0.6,127,,,1.9,-3.3,,1.2,83.8,,1/1/2017,7.9,2.5
0.9,129,,,3.6,-1.5,,3.5,95.5,,1/1/2017,9.7,5.4
2.7,130,,,4.4,-0.6,,6,50.4,,1/1/2017,13.4,7.2
0.7,131,,,2,-1.1,,3.4,74.1,,1/1/2017,9.1,3.2
0.7,133,,,3.1,-1.3,,3.5,81.5,,1/1/2017,10.7,4.8
1.5,135,,,5.6,-3.5,,1.5,77.5,,1/1/2017,8.1,8.4
1,136,,,3.4,-4.1,,1.2,77.6,,1/1/2017,9,5.8
1.1,137,,,3.7,-2.6,,2.6,75.5,,1/1/2017,9.7,6.6
3,138,,,5.7,3.1,,6.4,60.4,,1/1/2017,11.1,8.2
0.6,140,,,2.2,-0.7,,3.7,89.1,,1/1/2017,11,4
1,143,,,3,-2,,3.4,73.3,,1/1/2017,10,5.2
1.4,146,,,2.6,0.8,,4.8,75.1,,1/1/2017,10.7,4.9
1.8,152,,,5.3,2.1,,6.5,60.4,,1/1/2017,11.8,7.5
1.1,155,,,3.6,-0.1,,4.7,68.8,,1/1/2017,10.7,6.1
0.7,156,,,1.9,-0.6,,4.5,80.6,,1/1/2017,11.2,3
2.6,159,,,4.8,2.2,,6.5,58,,1/1/2017,12.6,8.4
1.3,162,,,3.8,1,,5.7,68.1,,1/1/2017,11.1,4.9
1.4,165,,,2.9,1.7,,6,86,,1/1/2017,11.4,4.7
1.9,168,,,5.4,2.7,,6.3,63.1,,1/1/2017,11,6.6
2.1,169,0,1.33,4.5,5.4,,8,82.9,,1/1/2017,11.8,5.5
1,170,,,2.4,2.2,,6.7,83.6,,1/1/2017,11.7,3.2
0.6,172,,,2.2,-1.3,,3.7,89,,1/1/2017,10.8,4.1
1.3,174,,,5.3,-3.7,,1.9,76.8,,1/1/2017,10.9,8.6
0.9,177,,,3.4,-1.4,,3.7,88.3,,1/1/2017,10.1,4.9
2,184,,,3.6,6,,9.9,66.4,,1/1/2017,13,5.4
3.1,185,,,5.3,5.4,,9.9,67.8,,1/1/2017,13.9,7
1.9,188,,,3.4,5.2,,9.4,68.5,,1/1/2017,14.6,5.7
1,189,,,2,6.2,,9.9,72.8,,1/1/2017,12.7,3.2
0.4,192,,,1.9,-4.5,,1.6,71.9,,1/1/2017,11.3,3.6
0.8,201,0,,2.5,-4.3,,2,83,,1/1/2017,7.3,2.9
0.5,202,,,1.7,-4.8,,0.1,87.6,,1/1/2017,4.9,5.4
0.5,203,,,1.5,-5.6,,0.4,80.3,,1/1/2017,5.2,2.5
1.3,211,,,4,-2,,1.2,73.5,,1/1/2017,5.5,6.2
0.3,212,,,1.4,-3.9,,0.5,85,,1/1/2017,5.5,2.4
1.3,216,,,4.3,-4.6,,0.2,63.6,,1/1/2017,5.9,7.4
0.9,217,,,3.2,-5.4,,-0.7,80.4,,1/1/2017,5.6,7.4
0.5,221,,,2.5,-5.4,,-0.9,86.3,,1/1/2017,6.1,4
0.4,226,,,2.2,-3.3,,0.3,88.8,,1/1/2017,8.8,3.5
0.6,232,,,2.3,-2.1,,2.3,83.1,,1/1/2017,8.7,3.6
0.8,235,,,3.1,0.5,,4.7,87.5,,1/1/2017,10.5,4.6
0.4,236,,,2.1,-1.9,,2,89.6,,1/1/2017,9.8,5.1
0.5,238,,,2,-3.6,,0.9,87.5,,1/1/2017,9.7,3.4
0.8,243,,,2.5,-1.3,,4.1,78.4,,1/1/2017,11.5,4.3
0.5,244,,,2.4,-3.8,,1.3,81.3,,1/1/2017,9.9,6.8
0.5,245,,,2.3,-0.9,,4.2,76.8,,1/1/2017,10.7,4.2
1.1,247,,,2.4,-3.2,,2.2,76.6,,1/1/2017,10.7,4
0.6,248,,,3.4,-4.7,,0.5,83.9,,1/1/2017,10.2,4.9
0.7,251,,,2.5,-1,,4.2,82.4,,1/1/2017,12.1,4.1
0.8,252,,,2.8,-2.4,,3.6,81.6,,1/1/2017,10.9,4.7
1.9,253,,,4.4,0.4,,5.2,66.1,,1/1/2017,11.5,6.7
0.9,254,,,2.3,-4.6,,0.7,82.8,,1/1/2017,9.1,3.3
0.8,255,,,2.8,-1.2,,4.2,69.6,,1/1/2017,11.4,5.6
1.6,257,,,3.6,-1.4,,4.4,74,,1/1/2017,12.2,4.7
1.1,258,,,3.3,-2.1,,3.5,81.5,,1/1/2017,11.7,6
1.2,259,,,2.9,-1.8,,3.7,85.4,,1/1/2017,12.2,4.5
0.5,260,,,2,-2.9,,3.1,83.9,,1/1/2017,12,4.6
0.7,261,,,2.6,-2.6,,3.2,80.4,,1/1/2017,11.1,5.4
0.6,262,,,3.4,-2.6,,2.6,85.9,,1/1/2017,10.8,5.8
0.6,263,,,1.7,-4.4,,1.5,85.4,,1/1/2017,10.9,2.1
0.4,264,,,3.1,-4.3,,2.1,77.8,,1/1/2017,12.6,5.9
0.7,266,,,2.1,0.7,,5.6,78.8,,1/1/2017,11.6,3
0.8,268,,,2.7,-0.8,,4.3,84.8,,1/1/2017,11.8,4.2
1.7,271,,,5.4,-6.6,,-0.6,75,,1/1/2017,6.5,9.4
3,272,,,7.3,-4.7,,1.1,72.5,,1/1/2017,6.6,12.6
1.3,273,,,3.7,-2.7,,2,72,,1/1/2017,9,6.7
0.9,276,,,4.7,-6.7,,-0.3,79.6,,1/1/2017,8,5.9
3.5,277,,,8.2,1.6,,5.8,52.6,,1/1/2017,9.9,12.5
0.6,278,,,3.4,-6.1,,0,79.1,,1/1/2017,9.9,5.2
0.5,279,,,1.8,-3,,1.9,89.4,,1/1/2017,10,3.6
1.5,281,,,6.2,-2.6,,2.6,75.4,,1/1/2017,10,9.2
2,283,,,3.8,-2.3,,2.8,75.1,,1/1/2017,10.8,6.2
0.5,284,,,3.5,-6.3,,0.8,80,,1/1/2017,10.4,4.2
0.9,285,,,2.5,-4.5,,1.3,75.1,,1/1/2017,10.9,5.1
0.5,288,,,1.5,-3.5,,2.5,79.6,,1/1/2017,11.5,2.1
0.8,289,,,2.8,-2.4,,3.1,70,,1/1/2017,12.3,4.5
0.6,294,,,2.4,0,,4.8,77.3,,1/1/2017,12.2,4.9
