avgWs,stnId,sumRn,sumRnDur,maxWs,minTa,ddMefs,avgTa,avgRhm,ddMes,tm,maxTa,maxInsWs
2.4,90,,,5.5,-3.4,,0.8,36.1,,1/1/2020,4.8,10.3
0.7,93,0.1,7.83,2.5,-9.6,0.3,-5.1,76.4,0.3,1/1/2020,0.3,4.2
0.7,95,0,,2.6,-9,,-4.1,78.4,,1/1/2020,0.7,4.8
0.7,98,0.1,,2.2,-8,,-3.8,76.6,,1/1/2020,0.3,3
0.7,99,0.1,,2,-7.5,,-4,79.1,,1/1/2020,0.6,3.3
5,100,,,8.9,-11.5,,-6.5,74.8,,1/1/2020,-2.5,17.5
0.8,101,0,,2.3,-9.3,,-4.3,73.4,,1/1/2020,1.3,3.9
3.5,102,0,4.77,7.8,1.4,,2.1,74,,1/1/2020,3.6,12.4
1.8,104,,,4,-5.6,,0.1,41.1,,1/1/2020,6.9,7.4
4.6,105,,,7,-3,,1.7,42.5,,1/1/2020,6.4,13.7
2.9,106,,,7.5,-2.6,,1.7,36.8,,1/1/2020,6.1,14.8
0.6,108,0.1,9.83,2.6,-6.5,0,-2.2,64.4,0,1/1/2020,0.3,4.8
1.7,112,0,5.25,3.8,-5.4,,-1.4,66.6,,1/1/2020,1.9,4.9
0.6,114,0,,1.9,-7.1,,-3.1,69.9,,1/1/2020,0.3,3.2
1.8,115,,,4,-0.6,,2.1,56.4,10,1/1/2020,3.8,7.9
1.2,119,0,2.42,2.9,-6.3,,-2.2,79.3,,1/1/2020,0.3,5
0.8,121,0,,3.7,-9.5,,-3.2,73.9,,1/1/2020,1.9,6.6
0.2,127,,,1,-9.7,,-3.8,67.3,,1/1/2020,-1.7,1.8
1.1,129,0.2,,4.4,-7.1,,-0.3,76.8,,1/1/2020,5.2,6.4
3.4,130,,,5.2,-4,,1.4,44.6,,1/1/2020,7.2,8.9
0.6,131,0,1.33,2.2,-7,,-2.1,72.4,,1/1/2020,1.5,4.2
0.9,133,0,2.58,3.8,-7.7,,-0.6,65.8,,1/1/2020,5.1,7.2
3.2,135,,,6.1,-8.2,,-1.3,57.4,,1/1/2020,2.9,12
2.1,136,,,5.9,-8.7,,-2.6,60,,1/1/2020,3.7,10.7
2.5,137,,,4.9,-7.6,,-0.9,64.3,,1/1/2020,4,8.1
3.2,138,,,6.9,-4.5,,0.8,53.4,,1/1/2020,5.9,9.5
1,140,,,3.7,-7,,-0.3,67.5,,1/1/2020,5.2,4.9
3,143,,,5.6,-4.9,,0.2,53.3,,1/1/2020,4.6,8
1.2,146,,,3.2,-6.4,,-0.5,62.3,,1/1/2020,4.3,5.7
3,152,,,4.7,-3.9,,1.3,50.4,,1/1/2020,6.4,6.5
2.1,155,,,4.7,-4.7,,0.3,45.4,,1/1/2020,4.9,10.6
1.5,156,,,4.3,-4.9,,-0.3,58,,1/1/2020,5.7,7.3
2.3,159,,,5.1,-3.2,,1.9,44,,1/1/2020,7.8,10.5
2.1,162,,,5.5,-3.5,,1.3,50.9,,1/1/2020,6.6,8.8
2.2,165,,,6.3,-4.5,,-0.3,62.6,,1/1/2020,3.2,8.5
4.4,168,,,7.7,-4.1,,1.2,51.1,,1/1/2020,6.4,11.2
5,169,,,8.6,1.2,,4.5,64,,1/1/2020,6.4,11.7
2.2,170,,,5.6,-2.7,,1.9,62.8,,1/1/2020,5.8,9
1.9,172,,,5.9,-5.1,,-0.4,70.1,,1/1/2020,5.1,7.4
4.1,174,,,6.8,-6.1,,-0.3,59.4,,1/1/2020,3.8,12.4
1,177,0,0.75,2.7,-7.2,,-0.7,76.4,,1/1/2020,4.6,5.5
2.5,184,,,4.9,2.4,,5.2,62.9,,1/1/2020,7.3,8.2
6.5,185,,,9.7,2.5,,5.2,68.8,,1/1/2020,6.9,12.7
2.5,188,,,4.7,0.9,,4.1,62.9,,1/1/2020,6.4,8.2
1.1,189,,,3.4,4.8,,7,75,,1/1/2020,9.6,5.9
0.5,192,,,1.9,-8.2,,-1.6,56.1,,1/1/2020,6.9,3.6
1.1,201,,,2.1,-6.5,,-1.9,72,,1/1/2020,2.3,3.2
0.8,202,0.1,,1.7,-7.2,,-3.8,74.3,,1/1/2020,-1.3,2.7
0.5,203,,,1.6,-7.9,,-4.2,76.8,,1/1/2020,-2,2.8
2.5,211,0,,4.3,-7.7,,-3.8,67,,1/1/2020,1.4,7.1
1.1,212,0,,2.5,-9.7,,-4.5,71,,1/1/2020,0.2,3.9
1.6,216,,,4.5,-8.4,,-4.9,63.3,,1/1/2020,-0.6,12.8
2.2,217,,,9,-9.5,,-3.9,74.5,,1/1/2020,1.2,13.1
1.3,221,0.2,,3.7,-10.5,,-4.3,79.1,,1/1/2020,-0.7,5.2
0.8,226,,,3,-9.9,,-1.9,74.8,,1/1/2020,3.4,5.7
1.1,232,,,2.2,-9.2,,-2.4,80.6,,1/1/2020,1.2,3
0.7,235,,,2.5,-5,,0.3,68.1,,1/1/2020,5.4,4.3
0.5,236,,,2,-8.6,,-2.2,75.3,,1/1/2020,4.1,3.7
0.8,238,,,3.7,-10.1,,-2.6,71.1,,1/1/2020,3.8,7.2
0.8,239,,,2.7,-8.6,,-1.6,65,,1/1/2020,4,4.7
0.7,243,,,2.3,-6.2,,-0.6,73,,1/1/2020,4.7,3.9
0.6,244,,,3.3,-9.3,,-3.1,74.1,,1/1/2020,2.6,6.3
0.7,245,,,2.9,-7.1,,-1.3,71.4,,1/1/2020,3.8,5.4
1.1,247,,,2.5,-9.3,,-2.5,69.1,,1/1/2020,3.5,5.4
1.6,248,,,4.3,-10.6,,-4,76.5,,1/1/2020,1.6,7.5
1,251,,,3.9,-5.6,,-0.8,65.9,,1/1/2020,4.3,7.1
0.8,252,,,3.7,-5.2,,-0.7,69,,1/1/2020,4.5,6.8
3,253,,,4.7,-3.5,,1.5,48.9,,1/1/2020,7.3,7.9
1.3,254,,,4.8,-9,,-3,75,,1/1/2020,3.4,9.4
1.3,255,,,3.4,-7.3,,-1.2,45.8,,1/1/2020,3.7,5.3
2.1,257,,,4.8,-2.9,,2.4,46,,1/1/2020,7.8,8.4
4.5,258,,,8.3,-4.2,,1.3,60.3,,1/1/2020,6.3,11.6
2.7,259,,,7.1,-4.5,,0.7,61.5,,1/1/2020,5.5,12.2
2.5,260,,,5.6,-3.7,,0.5,63.6,,1/1/2020,5.6,9.8
1.6,261,,,4.3,-6.1,,-1.5,70,,1/1/2020,4.9,8.9
2.1,262,,,5.6,-6.6,,0,59.4,,1/1/2020,5.5,9.2
0.7,263,,,3,-8.8,,-1.9,66,,1/1/2020,6.8,3.4
2.9,264,,,5.9,-8.8,,0,54.4,,1/1/2020,5,9.5
