avgWs,stnId,sumRn,sumRnDur,maxWs,minTa,ddMefs,avgTa,avgRhm,ddMes,tm,maxTa,maxInsWs
2.2,90,,,5.2,-7.7,,-2.9,27.6,,1/1/2021,1.2,9.8
1.1,93,,,5,-15.3,,-6.8,55.8,,1/1/2021,0.4,9.6
1,95,,,3,-15.9,,-7.8,58.8,,1/1/2021,-1,6.7
1.1,98,,,4.9,-13.8,,-6.3,67.5,,1/1/2021,0.8,8.1
0.8,99,,,3,-14.9,,-7.4,74.4,,1/1/2021,0.2,5.5
6.4,100,,,9.9,-14.4,,-9.5,58.1,,1/1/2021,-4.5,17.7
1.5,101,,,4,-14.6,,-5.6,54.6,,1/1/2021,1.2,5.8
3.6,102,0.6,3.5,6.9,-2.9,1.5,-1.1,65.9,6.5,1/1/2021,1.1,12.3
1.9,104,,,7.6,-9.5,,-2.6,31.4,,1/1/2021,2.7,12.8
2.7,105,,,5,-7.5,,-2,38.5,,1/1/2021,4,10
2.6,106,,,5.2,-5.4,,-1.1,29.8,,1/1/2021,3.7,12.7
2,108,,,4.1,-9.8,,-4.2,64,,1/1/2021,1.6,7.7
2.3,112,0,0.42,5.6,-8.2,,-3.4,56.1,,1/1/2021,1.3,9.5
0.6,114,,,2.4,-12,,-6.1,71.3,,1/1/2021,-0.3,4.9
3.3,115,0,0.92,8.9,-3.4,0,-1.2,58.6,30.9,1/1/2021,0.8,14.9
1.3,119,0,2.08,2.8,-10.4,,-4.6,83.3,,1/1/2021,0,4.7
1,121,,,3.8,-12.6,,-5.3,67.8,,1/1/2021,1.2,7.2
1,127,,,3,-12.9,,-6,75,,1/1/2021,-0.5,4.7
0.5,129,0,,1.7,-10.7,,-4.5,91.6,,1/1/2021,-1,2.4
2.5,130,,,4.5,-8.7,,-1.7,42,,1/1/2021,4.5,7.1
0.4,131,0.6,12.25,1.2,-10.2,1.1,-5.2,83.5,4.1,1/1/2021,-1.9,2.6
0.5,133,2.1,11.67,1.3,-9.7,4.3,-4.6,88.8,5.4,1/1/2021,-1.2,2.5
2.7,135,2,,6.1,-9,,-4.4,77.3,,1/1/2021,-1.8,8.6
