avgWs,stnId,sumRn,sumRnDur,maxWs,minTa,ddMefs,avgTa,avgRhm,ddMes,tm,maxTa,maxInsWs
2.6,90,,,6.4,-3.2,,1,21.3,,1/1/2018,4.2,11.1
0.9,93,,,3.4,-12.5,,-5.1,58.6,0.9,1/1/2018,4.2,5.7
0.9,95,,,3.3,-13.1,,-5.6,57.8,,1/1/2018,2.1,6.6
1.1,98,,,4.2,-9.5,,-3.1,47.3,,1/1/2018,4.6,6.6
0.7,99,,,3.6,-12.4,,-5.6,62.8,,1/1/2018,2.8,5.6
5.1,100,,,9,-11.8,,-6.6,39.3,,1/1/2018,-3,12.6
1,101,,,3.6,-10.5,,-4.5,63.5,,1/1/2018,3.4,6.8
3.1,102,,,7.5,0.4,,2.2,41.8,,1/1/2018,5.4,11.8
2.6,104,,,6,-3.6,,0.7,26.8,,1/1/2018,5,10.3
3.7,105,,,6.2,-2.1,,1.3,19.8,,1/1/2018,5.7,10.6
3.4,106,,,5.6,-0.2,,2.6,20.3,,1/1/2018,6.4,11
1.4,108,,,3.8,-5.1,,-1.3,39.1,,1/1/2018,3.8,7
1.6,112,,,2.9,-2.7,,-0.3,45.9,,1/1/2018,2.7,4.9
0.6,114,,,2.9,-8,,-2.7,52.1,,1/1/2018,2.9,5.3
2.7,115,0,2,5.9,0.9,,1.7,48,,1/1/2018,3.1,12.9
1,119,,,3.4,-6.9,,-1.7,56.5,,1/1/2018,4.7,5.2
1.1,121,,,4.5,-9.6,,-2.7,49,,1/1/2018,3.3,8.1
1.2,127,,,3.7,-9.4,,-4.1,57.8,,1/1/2018,3.1,6.1
0.7,129,,,3.3,-7,,-2.2,76,,1/1/2018,4,4.1
2.8,130,,,6.9,-2.5,,1.6,24.9,,1/1/2018,7,9.3
1.1,131,,,3.1,-4.3,,-0.2,50.6,,1/1/2018,4.7,5.5
1,133,,,2.7,-5.3,,-0.7,60,,1/1/2018,4.9,5.8
4.2,135,,,7.2,-3.4,,-0.5,38.9,,1/1/2018,3.3,11.3
2.2,136,,,5.3,-6.5,,-1,39.4,,1/1/2018,4.7,9.6
2.4,137,,,5.3,-3.9,,0.5,34.6,,1/1/2018,4.9,10.4
2.7,138,,,5.5,-1.1,,2,34.4,,1/1/2018,6.2,9.8
1,140,,,3.1,-3.9,,0.4,70.8,,1/1/2018,5.3,4.4
3.1,143,,,7.7,-1.3,,1.3,36.1,,1/1/2018,5,11.7
1.2,146,,,4.3,-2.7,,1,58.9,,1/1/2018,5.2,6.6
3.3,152,,,7.1,-0.4,,2.1,32,,1/1/2018,6.2,10.9
1.8,155,,,5.3,-1.9,,1.8,34.1,,1/1/2018,5.5,10.4
1.6,156,,,3.7,-1,,2.3,52.6,,1/1/2018,7.1,7.7
2.7,159,,,7.6,-1.1,,2.7,32,,1/1/2018,7.4,14.7
2.6,162,,,6.3,0.1,,3.3,46.8,,1/1/2018,8.2,9.9
2.2,165,,,4.9,0.1,,2.5,72.8,,1/1/2018,6.1,7
4.5,168,,,9.2,-0.2,,3.3,45,,1/1/2018,7.2,15.6
5.7,169,,,9.5,2.6,,4.6,55.4,,1/1/2018,7.2,12.4
1.9,170,0,,5.5,0.4,,3.6,59.8,,1/1/2018,7.3,10.4
1.6,172,,,5.7,-3.2,,0.9,71.4,,1/1/2018,5.9,8.3
2.2,174,,,5.4,-4.3,,0.2,55.1,,1/1/2018,5.5,10.1
0.9,177,,,2.9,-6.4,,-1.3,79.1,,1/1/2018,4.7,4.8
3.5,184,,,7.2,4,,6.4,53.4,,1/1/2018,8.8,12.2
7.8,185,,,12.5,3.7,,6.1,58.4,,1/1/2018,8.6,18.1
2.4,188,,,4.5,1.2,,4.8,55,,1/1/2018,8.3,9.2
1.5,189,,,2.9,3.9,,6.1,58.9,,1/1/2018,10,5.6
1.5,192,,,4.4,-5.5,,0.9,47.9,,1/1/2018,7.7,8.2
1,201,,,4.1,-7.3,,-2.7,56.3,,1/1/2018,3.9,6
1.2,202,,,3.9,-8.6,,-2.5,54.9,,1/1/2018,3.8,7.6
1.2,203,,,3.4,-9.5,,-2,47.1,,1/1/2018,4.9,6
0.9,211,,,4,-11.8,,-5.9,54.4,,1/1/2018,2.4,7.6
0.6,212,,,3.4,-12.5,,-6,64.4,,1/1/2018,3.4,7.2
1.5,216,,,3.5,-8.5,,-4.9,32.9,,1/1/2018,-0.9,8.3
1.9,217,,,7.5,-9.7,,-4.3,42.4,,1/1/2018,1.7,12.4
1.4,221,,,5.7,-12.3,,-5.8,59,,1/1/2018,2.2,10.6
1.1,226,,,4.8,-9.2,,-3,62.9,,1/1/2018,4.1,7.6
0.9,232,,,3.4,-8.5,,-2.8,66.1,,1/1/2018,3.8,6
0.7,235,,,1.8,-3.3,,-0.3,69.9,,1/1/2018,5.3,3.2
0.4,236,,,3.4,-6.9,,-2.1,74.9,,1/1/2018,4.8,5.1
0.7,238,,,2.8,-8.3,,-2.9,65.9,,1/1/2018,4.2,7
0.7,243,,,3.2,-3.8,,0.4,65.5,,1/1/2018,6.5,5.4
1,244,,,3.6,-6.9,,-1.9,64.9,,1/1/2018,5.2,6.7
0.8,245,,,3.5,-3.7,,0.2,63.6,,1/1/2018,5,5.4
1.4,247,,,3.9,-6,,-0.9,56.6,,1/1/2018,5.8,7.3
1.6,248,,,6.1,-7.6,,-2.7,66.3,,1/1/2018,3.1,10.7
1,251,,,3.7,-4.4,,0,60.8,,1/1/2018,5.3,7
1.4,252,,,4.1,-4.5,,0,63.4,,1/1/2018,5.8,8
1.9,253,,,5.4,-2.7,,1.3,37.5,,1/1/2018,6.9,8
1.3,254,,,5.1,-5.5,,-0.7,67.6,,1/1/2018,5.5,9.8
1.9,255,,,4.4,-1.9,,1.5,37.5,,1/1/2018,6.1,9.5
2.1,257,,,5.3,-2,,2.3,39.4,,1/1/2018,7.5,10.8
1.8,258,,,5.5,-3.2,,1.4,58.4,,1/1/2018,7.7,9.5
1.9,259,,,5.3,-3.3,,1.2,63.8,,1/1/2018,7,12
1.3,260,,,4.7,-5.1,,0.4,68.4,,1/1/2018,6.9,8.2
1.4,261,,,5.4,-5.7,,-0.2,68.5,,1/1/2018,6.9,11.8
1.3,262,,,5.7,-4.6,,0.6,62.6,,1/1/2018,7.4,8.7
1,263,,,4.5,-7.7,,-1.5,60.1,,1/1/2018,8.3,5.5
1.4,264,,,4.4,-5.2,,0.8,57.8,,1/1/2018,6.4,8.5
1.9,266,,,5.1,-1.4,,2.6,49.9,,1/1/2018,7.6,6.4
2,268,,,4.6,-3.3,,2.5,64.3,,1/1/2018,6.7,7.9
1.9,271,,,6.3,-12.3,,-5.1,47.3,,1/1/2018,2.1,12.1
3.9,272,,,6.6,-5.9,,-1.1,35,,1/1/2018,2.6,10.6
3.4,273,,,6.3,-4.8,,-0.1,31.6,,1/1/2018,4.2,11.7
2.4,276,,,6.8,-8.7,,-1.9,42.1,,1/1/2018,3.4,9.1
4.6,277,,,8.2,-2.2,,1.2,24.1,,1/1/2018,5.4,13
1.5,278,,,5.4,-10.8,,-3,52.5,,1/1/2018,5.8,9.1
1.4,279,,,4.3,-3.6,,0.6,45.5,,1/1/2018,5.8,8.2
2.8,281,,,6,-3.9,,0.8,35.1,,1/1/2018,6.1,10.1
3.8,283,,,8.2,-2,,1.9,34.6,,1/1/2018,5.9,13.3
1.9,284,,,5.5,-5.7,,-0.5,52.3,,1/1/2018,4.9,9.6
1.4,285,,,4.5,-7.6,,-1.4,50.5,,1/1/2018,7,9.2
1.8,288,,,6.1,-4.7,,0.2,43,,1/1/2018,6.6,10
2.8,289,,,7.3,-2.2,,1.7,45.4,,1/1/2018,6.6,12.9
1.3,294,,,3.1,-1.6,,2.2,43.5,,1/1/2018,6.7,6.5
1,295,,,1.8,-2.2,,2.3,51.3,,1/1/2018,7.4,3.7
2.9,90,,,7,-2.1,,1.5,21.8,,1/2/2018,5.6,11.9
1.1,93,,,4.2,-11.3,,-3.8,52.3,,1/2/2018,4.5,8
1.1,95,,,4.5,-11.6,,-5.6,52.8,,1/2/2018,1.8,9.3
1.8,98,,,5,-8.6,,-3.5,46,,1/2/2018,3.8,8.7
1.4,99,,,3.8,-11.2,,-4.8,56.5,,1/2/2018,1.3,7.5
6.1,100,,,9.5,-9.9,,-5.2,45.1,,1/2/2018,-1.6,16.5
1.2,101,,,4.2,-9.4,,-3.5,55.1,,1/2/2018,3.5,7.8
2.9,102,,,5.3,-2.8,,-1.4,52.5,,1/2/2018,2.7,11.4
3.5,104,,,8.7,-3.1,,1.5,30.4,,1/2/2018,5.5,14.4
2.8,105,,,5.4,-0.6,,2.5,22.4,,1/2/2018,6.9,11.2
3.2,106,,,8.2,1,,3.8,23.6,,1/2/2018,7.5,15.2
1.8,108,,,4.9,-4.3,,-1.8,42,,1/2/2018,1.8,8.5
3.5,112,,,6.5,-4.3,,-1.4,46.3,,1/2/2018,0.8,9.9
0.8,114,,,3,-7.2,,-2.1,48.1,,1/2/2018,2.7,5.8
3.3,115,0,1.75,7.7,1,,2.8,43.3,,1/2/2018,5.6,16.7
1.6,119,,,4.2,-5.7,,-1.7,53.9,,1/2/2018,3.3,6.6
1,121,,,4.1,-9.3,,-2.4,56.5,,1/2/2018,4.1,7.6
1,127,,,3.6,-8.6,,-3,61.1,,1/2/2018,2.4,5.2
,129,,,,,,,,,1/2/2018,,
2.5,130,,,4.9,-1.1,,2.8,31.9,,1/2/2018,8.5,7
1.2,131,,,3.1,-4.2,,-0.7,61.9,,1/2/2018,2.9,5.2
0.9,133,,,2.9,-4.7,,-1,73.6,,1/2/2018,4.1,5
3.6,135,,,7.1,-5.1,,-0.1,58.4,,1/2/2018,3.7,13
2,136,,,5.7,-6.9,,-0.5,54,,1/2/2018,5.6,8.9
2.8,137,,,6.1,-5.1,,0.8,51.5,,1/2/2018,5,11.1
2.7,138,,,5.6,-1.6,,3.2,50.6,,1/2/2018,7.6,10.2
1,140,0,,4.5,-4.6,,0.1,75,,1/2/2018,4.4,5.7
2.3,143,,,7,-4.7,,1.5,50.6,,1/2/2018,7.7,10.8
1.6,146,0,0.58,3.4,-3.2,,0.7,74.6,,1/2/2018,6.7,5.3
1.9,152,,,4.9,-1,,3.7,43.5,,1/2/2018,8,9.4
1.4,155,,,3.4,-2.1,,3.5,45.6,,1/2/2018,9,7.2
0.9,156,,,3,-2.9,,2.2,67,,1/2/2018,8.4,5.8
2.2,159,,,4.5,-0.3,,4.1,39.6,,1/2/2018,9.4,8.9
1.7,162,,,3.7,-1.2,,3.4,54.8,,1/2/2018,8.5,5.2
3,165,,,6.9,-2.1,,2.8,79,,1/2/2018,7.7,10.1
3.3,168,,,7.8,-0.2,,4.1,56.4,,1/2/2018,9,13.7
3,169,,,11,2.4,,5.2,68.1,,1/2/2018,8.6,13.5
1.7,170,,,5.7,-1.2,,4.5,69.4,,1/2/2018,8.6,8.2
1.7,172,,,5.6,-5.1,,0.6,81.3,,1/2/2018,7.6,7.9
2.1,174,,,5.1,-6.7,,0.5,71.1,,1/2/2018,6.9,10
1.1,177,,,3.1,-4.6,,-1.2,77.3,,1/2/2018,2.3,5.6
2.2,184,,,5.5,3,,7,53.5,,1/2/2018,10.1,9.3
5.3,185,,,7.6,3.6,,7.4,54.3,,1/2/2018,11,12.6
2.3,188,,,4.8,0.6,,6.1,51.9,,1/2/2018,10,8.9
1.3,189,,,2.5,3.8,,7.7,62.4,,1/2/2018,11.5,5.4
0.7,192,,,2.2,-7.5,,0.7,56.9,,1/2/2018,9.4,5.6
1.6,201,,,4.5,-6.4,,-2.4,43.9,,1/2/2018,1.9,9.3
1.7,202,,,4.4,-8.4,,-2.7,49.3,,1/2/2018,3.7,7.3
1.2,203,,,5,-8.9,,-3.1,52.3,,1/2/2018,3.5,10.3
1.4,211,,,4,-10.3,,-4.2,45.1,,1/2/2018,3.3,7.2
1.1,212,,,4.3,-11.6,,-5,59.5,,1/2/2018,2.7,7.5
1.8,216,,,4,-5.8,,-3.1,38.9,,1/2/2018,0.6,11.8
2.9,217,,,11,-9.5,,-3,44.6,,1/2/2018,2.9,17.8
1.5,221,,,4.8,-11.5,,-4.3,57.1,,1/2/2018,2.6,7.6
1.2,226,,,3.2,-8.5,,-2.3,70.1,,1/2/2018,3.6,6.6
0.9,232,,,3.4,-8.1,,-2.6,64.4,,1/2/2018,2.9,6.2
0.9,235,0,,2.7,-3,,0.1,78.4,,1/2/2018,4.6,4.5
0.4,236,,,3.1,-6.6,,-2.2,79.6,,1/2/2018,3.7,4.7
0.8,238,0,,3.1,-8.3,,-2.3,71.8,,1/2/2018,3.4,5.1
1,243,,,2.8,-3.9,,0.8,70.4,,1/2/2018,6.3,4.9
0.7,244,,,2.3,-8.5,,-1.6,78.1,,1/2/2018,5.5,4.6
0.8,245,0,,4.6,-4,,0.2,76.5,,1/2/2018,6.1,5.8
0.9,247,0,,2.1,-6.6,,-0.7,71,,1/2/2018,5.5,4
1.4,248,0,,4.8,-9.1,,-2.4,71.9,,1/2/2018,4.1,8.2
1,251,,,4.2,-5.5,,0.4,72.3,,1/2/2018,6.9,8.8
1.7,252,,,5.3,-5.9,,0.5,72.1,,1/2/2018,7.6,9.1
1.9,253,,,4.3,-2.7,,2.7,47,,1/2/2018,8.3,7.2
0.8,254,0,,3.2,-7.4,,-1,81.4,,1/2/2018,5.3,6.1
1.1,255,,,2.8,-3,,2.9,48.9,,1/2/2018,8.7,5.3
1.8,257,,,4,-1.9,,3.1,50.1,,1/2/2018,9,7
2,258,,,5.9,-5.8,,2.6,63.5,,1/2/2018,8.8,10.1
1.9,259,,,4.9,-5.5,,2.4,63.4,,1/2/2018,8.8,8.5
1.3,260,,,5.2,-7.2,,1.7,67.8,,1/2/2018,8.7,8.7
1.4,261,,,4.6,-7.7,,1,67.3,,1/2/2018,8.3,8.4
1.3,262,,,5.2,-6.4,,1.5,72,,1/2/2018,9,8.2
1.2,263,,,4,-8.2,,0.1,67,,1/2/2018,10.2,5.1
1.4,264,0,,4.7,-8.1,,0.2,73.4,,1/2/2018,7.5,9.5
1.9,266,,,5.6,-1.8,,3.2,57.1,,1/2/2018,8.6,7.2
1.6,268,,,5.6,-5.1,,2.3,71.4,,1/2/2018,8.6,8.9
1.5,271,,,4.3,-12.3,,-3.8,50.3,,1/2/2018,4.1,9.7
6,272,,,9.5,-3.5,,0,47.9,,1/2/2018,2.6,12.1
2.7,273,,,6.3,-4.8,,0.1,46.6,,1/2/2018,4.6,9.8
2.6,276,,,7,-9.6,,-1.8,57.8,,1/2/2018,4.7,9.3
2.7,277,,,6.5,-2.7,,2,38.3,,1/2/2018,6.8,11.8
1.4,278,,,4.7,-10.5,,-1.9,59.4,,1/2/2018,7,8.8
1,279,,,3.3,-5.5,,0.6,62.9,,1/2/2018,6.8,7
2.7,281,,,7.3,-7,,0.6,50.5,,1/2/2018,6.6,11.4
3.1,283,,,6.1,-3.9,,2.7,47.5,,1/2/2018,7.5,10.6
1.5,284,0,,4.8,-9.5,,-1.1,63.6,,1/2/2018,7.2,7.8
0.9,285,,,3.3,-8.3,,-0.2,61.4,,1/2/2018,9.1,7.1
1,288,,,4.8,-7,,0.7,55.6,,1/2/2018,8.6,8.4
2.2,289,,,6.9,-6.8,,1,60.9,,1/2/2018,7.5,10.8
1.1,294,,,3.4,-2.5,,3.8,48.3,,1/2/2018,9.7,6.3
1.1,295,,,2.9,-3.3,,3.1,59.8,,1/2/2018,8.9,5.6
1.6,90,,,3.7,-5.5,,-1.6,29.9,,1/3/2018,3.3,5.9
0.9,93,,,2.3,-12.4,,-6.3,55.9,,1/3/2018,0.9,3.7
0.8,95,,,2.8,-14.1,,-8.4,60.3,,1/3/2018,-1.5,5.8
1.5,98,,,4.4,-9.5,,-5.4,42.9,,1/3/2018,1.1,7.1
1.2,99,,,3.2,-12.9,,-7.3,58,,1/3/2018,-0.9,5.8
2.8,100,,,5.6,-16.8,,-9.7,54.5,,1/3/2018,-3.2,8.1
0.9,101,,,2.6,-10.6,,-5.6,58.3,,1/3/2018,0.9,4.8
3.1,102,0,1,4.5,-4.4,,-3.5,59,,1/3/2018,-2.6,10.2
1.5,104,,,2.9,-4.2,,-1.3,36.9,,1/3/2018,2.9,4.9
2.8,105,,,4.9,-3.8,,-0.4,26.1,,1/3/2018,4.8,7.8
1.9,106,,,3.6,-2.3,,0.8,31.6,,1/3/2018,4.1,6.4
2.2,108,,,3.5,-7.1,,-4.7,42.3,,1/3/2018,-0.4,6.6
3.9,112,,,6.4,-6.1,,-4.4,47.8,,1/3/2018,-1.9,8.7
